Date;Hour;Stock;Shares;Transaction;Value;money;kind;Sum
17/10/11;16:00:00;Texas Instruments (TXN);45;Acquired;30,69;USD;cost;1381,05
17/10/11;16:00:00;Google (GOOG);2;Acquired;589,27;USD;cost;1178,54
17/10/11;16:00:00;Unitedhealth (UNH);29;Acquired;47,22;USD;cost;1369,38
17/10/11;09:32:00;EADS (EAD);57;Acquired;22,98;EUR;cost;1309,575
14/10/11;21:30:00;Avon (AVP);13;Sold;22,2;USD;income;288,6
14/10/11;21:30:00;Philip Morris (PM);4;Sold;67,16;USD;income;268,64
14/10/11;21:30:00;General Dynamics (GD);4;Sold;62,05;USD;income;248,2
13/10/11;16:00:00;General Dynamics (GD);4;Acquired;61,31;USD;cost;245,24
13/10/11;16:00:00;Philip Morris (PM);4;Acquired;65,99;USD;cost;263,96
13/10/11;16:00:00;Avon (AVP);13;Acquired;21,82;USD;cost;283,66
12/10/11;21:30:00;Costco (COST);10;Sold;81,9;USD;income;819
12/10/11;21:30:00;Wal-Mart (WMT);15;Sold;55,52;USD;income;832,8
11/10/11;21:30:00;Sprint Nextel (S);339;Sold;2,37;USD;income;803,43
11/10/11;16:00:00;Costco (COST);10;Acquired;80,58;USD;cost;805,8
11/10/11;16:00:00;Wal-Mart (WMT);15;Acquired;54,54;USD;cost;818,1
11/10/11;09:30:00;Belle (1880);1000;Sold;14,31;HKD;income;14309
10/10/11;17:00:00;Veolia Environnement (VIE);117;Sold;10,95;EUR;income;1280,682
10/10/11;16:00:00;Sprint Nextel (S);339;Acquired;2,28;USD;cost;772,72338
07/10/11;21:30:00;AT&T (T);29;Sold;28,71;USD;income;832,59
07/10/11;21:30:00;Sara Lee (SLE);51;Sold;16,59;USD;income;846,09
07/10/11;09:30:00;Veolia Environnement (VIE);117;Acquired;10,56;EUR;cost;1235,52
06/10/11;16:00:00;Sara Lee (SLE);51;Acquired;16,15;USD;cost;823,65
06/10/11;16:00:00;AT&T (T);29;Acquired;28,03;USD;cost;812,87
05/10/11;21:30:00;Lockheed (LMT);4;Sold;72,09;USD;income;288,36
05/10/11;21:30:00;Costco (COST);3;Sold;79,87;USD;income;239,61
05/10/11;21:30:00;Walgreen (WAG);9;Sold;32,95;USD;income;296,55
04/10/11;16:00:00;Walgreen (WAG);9;Acquired;31,77;USD;cost;285,93
04/10/11;16:00:00;Lockheed (LMT);4;Acquired;71,14;USD;cost;284,56
04/10/11;16:00:00;Costco (COST);3;Acquired;78,88;USD;cost;236,64
03/10/11;21:30:00;Southern Company (SO);13;Sold;42,13;USD;income;547,69
03/10/11;21:30:00;New York Mellon (BK);30;Sold;17,78;USD;income;533,4
03/10/11;21:30:00;Gilead (GILD);14;Sold;37,93;USD;income;531,02
03/10/11;17:00:00;Alstom (ALO);54;Sold;23,87;EUR;income;1289,034
03/10/11;09:30:00;AIA (1299);400;Sold;21,6;HKD;income;8640
30/09/11;16:00:00;New York Mellon (BK);30;Acquired;18,63;USD;cost;558,9
